Result,249.0,250.0,251.0,252.0,253.0,254.0,255.0,256.0,257.0,258.0,259.0,260.0,261.0,262.0,263.0,264.0,265.0,266.0,267.0,268.0,269.0,270.0,271.0,272.0,273.0,274.0,275.0,276.0,277.0,278.0,279.0,280.0,281.0,282.0,283.0,284.0,285.0,286.0,287.0,288.0,289.0,290.0,291.0,292.0,293.0,294.0,295.0,296.0,297.0,298.0,299.0,300.0,301.0
Predicted Birthweight,2756.43017578125,2760.314208984375,2782.5439453125,2847.6474609375,2893.4755859375,2912.47509765625,2931.658203125,2920.5263671875,2997.873046875,2969.860595703125,3024.04931640625,3110.1005859375,3113.543701171875,3223.753173828125,3167.802978515625,3202.56103515625,3321.828125,3295.249755859375,3287.631103515625,3353.922119140625,3395.51416015625,3391.601806640625,3506.847412109375,3415.377197265625,3543.830322265625,3538.263916015625,3606.265380859375,3599.56103515625,3631.547607421875,3737.159912109375,3739.8310546875,3869.656005859375,3809.4375,3858.49755859375,3866.27880859375,4015.537109375,3942.83154296875,3879.24658203125,4011.84619140625,4067.823974609375,4181.3076171875,4199.4462890625,4108.3916015625,4269.38134765625,4232.638671875,4295.54736328125,4381.0302734375,4333.74609375,4372.40283203125,4390.4228515625,4485.46875,4538.1552734375,4526.9208984375
LGA Diagnosis,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Macrosomia Diagnosis,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
